City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
sita road,PK,27.03,67.85,101.23,9,0,5.88
yar-sale,RU,66.83,70.83,40.64,77,10,16.08
sorland,NO,67.67,12.69,44.6,81,75,8.05
lundazi,ZM,-12.29,33.18,63.61,74,20,15.35
broome,US,42.25,-75.83,50.0,66,1,6.93
agadir,MA,30.42,-9.6,64.4,88,90,4.7
katra,IN,32.98,74.95,83.16,44,0,2.13
koslan,RU,63.46,48.9,43.61,80,96,15.68
yenagoa,NG,4.92,6.26,74.66,95,99,3.06
fayaoue,NC,-20.65,166.53,73.27,73,1,11.43
gannan,CN,47.91,123.5,61.84,72,97,13.53
kembe,CF,4.62,21.89,68.58,96,99,2.26
green river,US,41.53,-109.47,60.8,38,1,17.22
corning,US,42.14,-77.05,52.0,81,1,4.5
senno,RU,59.53,33.92,45.91,97,58,3.8
manzhouli,CN,49.6,117.43,55.42,42,0,9.44
walvis bay,NA,-22.96,14.51,54.0,100,4,3.36
canakkale,TR,40.08,26.83,60.8,87,70,6.93
kui buri,TH,12.08,99.85,86.0,79,40,6.93
roald,NO,62.58,6.13,59.0,77,92,20.8
susanville,US,40.42,-120.65,68.0,18,1,4.7
qaqortoq,GL,60.72,-46.03,33.8,26,0,11.41
esil,KZ,51.96,66.4,47.59,78,100,27.63
cowra,AU,-33.83,148.68,51.01,69,19,7.0
vieques,PR,18.43,-65.83,84.2,70,20,3.36
rentina,GR,40.66,23.61,63.0,78,4,4.0
springbok,ZA,-29.66,17.89,52.2,35,0,5.88
sabang,ID,5.89,95.32,83.08,72,99,2.35
desbiens,CA,48.42,-71.95,51.8,76,20,9.17
atikokan,CA,48.76,-91.62,57.4,62,0,5.26
uhlove,UA,44.82,33.6,61.07,56,0,5.55
shingu,JP,33.73,135.98,77.0,65,75,2.24
paredon,MX,16.03,-93.87,81.54,71,2,8.32
la paz,BO,-16.5,-68.15,37.4,60,0,6.93
manta,EC,-0.95,-80.73,71.6,83,75,11.41
hamilton,US,39.18,-84.53,60.01,93,1,2.42
mnogovershinnyy,RU,53.94,139.92,57.87,47,0,2.86
velyka lepetykha,UA,47.18,33.94,57.87,42,0,8.01
batagay-alyta,RU,67.8,130.41,48.54,50,44,1.9
dawei,MM,14.08,98.2,87.49,66,100,2.3
beringovskiy,RU,63.05,179.32,45.27,61,34,2.73
zaysan,KZ,47.47,84.87,59.67,36,100,12.33
virginia beach,US,36.85,-75.98,57.99,71,1,6.93
cooma,AU,-36.23,149.13,50.0,57,40,19.46
jega,NG,12.22,4.38,76.33,79,54,8.9
udachnyy,RU,66.42,112.4,53.6,60,0,6.71
bichura,RU,50.59,107.6,53.96,50,0,3.51
isangel,VU,-19.55,169.27,82.4,58,75,11.41
sisimiut,GL,66.94,-53.67,29.08,91,1,5.97
basco,PH,20.45,121.97,82.09,80,1,15.05
stolin,BY,51.89,26.85,51.96,60,1,6.93
poddorye,RU,57.47,31.12,47.44,96,0,4.94
bull savanna,JM,17.89,-77.59,78.76,79,98,2.57
mount isa,AU,-20.73,139.5,84.2,25,2,11.41
aktash,RU,50.3,87.73,43.97,61,99,8.21
nyamuswa,TZ,-1.9,34.02,62.6,93,20,6.15
ewa beach,US,21.32,-158.01,86.0,51,40,8.05
elizabeth city,US,36.29,-76.25,57.2,76,1,6.93
boueni,YT,-12.9,45.08,78.8,78,20,11.41
mweka,CD,-4.85,21.57,68.2,97,38,2.39
havoysund,NO,71.0,24.66,44.6,70,75,20.8
vallenar,CL,-28.57,-70.76,61.65,45,2,0.81
nobres,BR,-14.72,-56.33,74.46,64,5,4.7
arlit,NE,18.74,7.39,88.27,19,0,7.36
mezen,RU,65.85,44.24,42.94,85,41,9.95
kargasok,RU,59.06,80.86,45.93,72,100,11.27
brigantine,US,39.41,-74.36,57.99,66,1,6.93
segezha,RU,63.74,34.32,41.45,79,92,9.51
south lake tahoe,US,38.93,-119.98,57.2,55,1,5.82
madang,PG,-5.22,145.8,85.51,68,99,7.94
kirakira,SB,-10.45,161.92,82.8,76,50,8.93
kalakamati,BW,-20.59,27.31,52.3,90,1,9.89
hovd,MN,48.01,91.64,63.64,29,45,2.8
