City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
sita road,PK,27.03,67.85,98.65,17,77,8.63
yar-sale,RU,66.83,70.83,40.51,82,1,2.66
sorland,NO,67.67,12.69,42.8,56,40,17.22
lundazi,ZM,-12.29,33.18,59.27,82,25,9.48
broome,US,42.25,-75.83,60.8,63,1,1.97
agadir,MA,30.42,-9.6,66.2,82,0,4.7
katra,IN,32.98,74.95,82.4,74,5,4.7
koslan,RU,63.46,48.9,39.56,85,84,7.2
yenagoa,NG,4.92,6.26,73.02,96,100,2.04
fayaoue,NC,-20.65,166.53,73.04,74,0,11.14
gannan,CN,47.91,123.5,58.8,61,82,3.18
kembe,CF,4.62,21.89,69.78,96,100,2.3
green river,US,41.53,-109.47,60.8,26,1,9.17
corning,US,42.14,-77.05,57.99,71,1,4.59
senno,RU,59.53,33.92,53.6,96,96,6.17
manzhouli,CN,49.6,117.43,55.62,51,1,12.77
walvis bay,NA,-22.96,14.51,55.0,95,0,1.97
canakkale,TR,40.08,26.83,59.0,77,1,3.36
kui buri,TH,12.08,99.85,86.0,70,20,5.82
roald,NO,62.58,6.13,48.2,81,100,27.51
susanville,US,40.42,-120.65,71.6,44,20,8.05
qaqortoq,GL,60.72,-46.03,37.4,40,100,4.7
esil,KZ,51.96,66.4,44.62,75,65,20.87
cowra,AU,-33.83,148.68,51.01,74,61,5.99
vieques,PR,18.43,-65.83,78.8,88,40,3.8
rentina,GR,40.66,23.61,64.99,83,43,1.99
springbok,ZA,-29.66,17.89,58.17,36,26,3.09
sabang,ID,5.89,95.32,83.14,71,100,12.73
desbiens,CA,48.42,-71.95,51.8,87,90,6.93
atikokan,CA,48.76,-91.62,53.92,70,92,5.1
uhlove,UA,44.82,33.6,63.45,62,0,3.42
shingu,JP,33.73,135.98,78.8,65,75,4.7
paredon,MX,16.03,-93.87,81.57,76,100,1.72
la paz,BO,-16.5,-68.15,32.0,55,0,2.24
manta,EC,-0.95,-80.73,69.8,83,75,9.17
hamilton,US,39.18,-84.53,64.0,87,1,2.82
mnogovershinnyy,RU,53.94,139.92,57.51,53,2,0.74
velyka lepetykha,UA,47.18,33.94,59.22,51,0,5.12
batagay-alyta,RU,67.8,130.41,48.72,49,73,3.2
dawei,MM,14.08,98.2,84.24,76,100,4.68
beringovskiy,RU,63.05,179.32,43.79,65,80,20.02
zaysan,KZ,47.47,84.87,63.21,30,100,9.64
virginia beach,US,36.85,-75.98,64.0,77,75,3.36
cooma,AU,-36.23,149.13,51.8,43,0,16.11
jega,NG,12.22,4.38,76.93,82,100,8.3
udachnyy,RU,66.42,112.4,48.2,45,0,6.71
bichura,RU,50.59,107.6,57.33,46,0,3.13
isangel,VU,-19.55,169.27,80.6,74,75,9.17
sisimiut,GL,66.94,-53.67,28.74,80,7,18.61
basco,PH,20.45,121.97,83.64,79,15,15.73
stolin,BY,51.89,26.85,51.39,61,48,7.63
poddorye,RU,57.47,31.12,50.95,89,11,6.2
bull savanna,JM,17.89,-77.59,77.63,87,41,5.88
mount isa,AU,-20.73,139.5,80.6,15,75,8.05
aktash,RU,50.3,87.73,40.5,65,100,7.11
nyamuswa,TZ,-1.9,34.02,66.2,93,20,4.5
ewa beach,US,21.32,-158.01,87.8,55,1,9.17
elizabeth city,US,36.29,-76.25,62.6,88,1,4.7
boueni,YT,-12.9,45.08,77.0,78,90,16.11
mweka,CD,-4.85,21.57,69.03,98,100,2.57
havoysund,NO,71.0,24.66,46.4,70,75,62.19
vallenar,CL,-28.57,-70.76,58.37,64,100,0.89
nobres,BR,-14.72,-56.33,76.53,67,73,1.92
arlit,NE,18.74,7.39,87.57,18,0,6.93
mezen,RU,65.85,44.24,40.98,83,100,10.25
kargasok,RU,59.06,80.86,42.37,91,100,13.51
brigantine,US,39.41,-74.36,66.2,68,1,6.93
segezha,RU,63.74,34.32,49.35,95,15,8.01
south lake tahoe,US,38.93,-119.98,64.4,36,1,8.05
madang,PG,-5.22,145.8,86.31,62,2,8.14
kirakira,SB,-10.45,161.92,82.94,75,9,8.61
kalakamati,BW,-20.59,27.31,56.68,67,0,8.41
hovd,MN,48.01,91.64,60.24,31,100,9.84
